identifier,Temp_Celsius,ref_key,method,SMILES,Molecular_Weight,InChI,source_doi,reference_doi,ref_keys,pCMC,CMC
C6SO4Na,25.0,aniansson1976,,CCCCCCOS(=O)(=O)[O-].[Na+],204.22299999999998,"InChI=1S/C6H14O4S.Na/c1-2-3-4-5-6-10-11(7,8)9;/h2-6H2,1H3,(H,7,8,9);/q;+1/p-1",10.1021/ci600462d,10.1021/j100550a001,aniansson1976,0.377,0.41975898399100753
C7SO4Na,25.0,aniansson1976,,CCCCCCCOS(=O)(=O)[O-].[Na+],218.25,"InChI=1S/C7H16O4S.Na/c1-2-3-4-5-6-7-11-12(8,9)10;/h2-7H2,1H3,(H,8,9,10);/q;+1/p-1",10.1021/ci600462d,10.1021/j100550a001,aniansson1976,0.658,0.21978598727848248
C9SO4Na,25.0,aniansson1976,,CCCCCCCCCOS(=O)(=O)[O-].[Na+],246.304,"InChI=1S/C9H20O4S.Na/c1-2-3-4-5-6-7-8-9-13-14(10,11)12;/h2-9H2,1H3,(H,10,11,12);/q;+1/p-1",10.1021/ci600462d,10.1021/j100550a001,aniansson1976,1.222,0.05997910762555094
C8CO2K,40.0,li2004,,CCCCCCCCC(=O)[O-].[K+],196.33100000000002,"InChI=1S/C9H18O2.K/c1-2-3-4-5-6-7-8-9(10)11;/h2-8H2,1H3,(H,10,11);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,0.333,0.4645152752227494
C10CO2K,40.0,li2004,,CCCCCCCCCCC(=O)[O-].[K+],224.385,"InChI=1S/C11H22O2.K/c1-2-3-4-5-6-7-8-9-10-11(12)13;/h2-10H2,1H3,(H,12,13);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,0.936,0.1158777356155126
C12CO2K,40.0,li2004,,CCCCCCCCCCCCC(=O)[O-].[K+],252.43899999999996,"InChI=1S/C13H26O2.K/c1-2-3-4-5-6-7-8-9-10-11-12-13(14)15;/h2-12H2,1H3,(H,14,15);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,1.538,0.028973435877013228
C14CO2K,40.0,li2004,,CCCCCCCCCCCCCCC(=O)[O-].[K+],280.49299999999994,"InChI=1S/C15H30O2.K/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17;/h2-14H2,1H3,(H,16,17);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.137,0.007294575102545687
C16CO2K,40.0,li2004,,CCCCCCCCCCCCCCCCC(=O)[O-].[K+],308.5469999999999,"InChI=1S/C17H34O2.K/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19;/h2-16H2,1H3,(H,18,19);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.745,0.0017988709151287874
C6C(C)SO4Na,40.0,li2004,,CCCCCCC(C)OS(=O)(=O)[O-].[Na+],232.277,"InChI=1S/C8H18O4S.Na/c1-3-4-5-6-7-8(2)12-13(9,10)11;/h8H,3-7H2,1-2H3,(H,9,10,11);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,0.745,0.1798870915128788
C8C(C2)SO4Na,40.0,li2004,,CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],274.35799999999995,"InChI=1S/C11H24O4S.Na/c1-3-5-6-7-8-9-10-11(4-2)15-16(12,13)14;/h11H,3-10H2,1-2H3,(H,12,13,14);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,1.539,0.02890679882365476
C5C(C5)SO4Na,40.0,li2004,,CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],274.35799999999995,"InChI=1S/C11H24O4S.Na/c1-3-5-7-9-11(10-8-6-4-2)15-16(12,13)14;/h11H,3-10H2,1-2H3,(H,12,13,14);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,1.081,0.08298507675144226
C11C(C)SO4Na,40.0,li2004,,CCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],302.41200000000003,"InChI=1S/C13H28O4S.Na/c1-3-4-5-6-7-8-9-10-11-12-13(2)17-18(14,15)16;/h13H,3-12H2,1-2H3,(H,14,15,16);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.187,0.006501296903430909
C6C(C6)SO4Na,40.0,li2004,,CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],302.412,"InChI=1S/C13H28O4S.Na/c1-3-5-7-9-11-13(17-18(14,15)16)12-10-8-6-4-2;/h13H,3-12H2,1-2H3,(H,14,15,16);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,1.714,0.01931968317016924
C14C(C14)SO4Na,40.0,li2004,,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],526.8440000000004,"InChI=1S/C29H60O4S.Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29(33-34(30,31)32)28-26-24-22-20-18-16-14-12-10-8-6-4-2;/h29H,3-28H2,1-2H3,(H,30,31,32);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,4.1,7.943282347242822e-05
C10PhSO3Na,40.0,li2004,,CCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],320.43000000000006,"InChI=1S/C16H26O3S.Na/c1-2-3-4-5-6-7-8-9-10-15-11-13-16(14-12-15)20(17,18)19;/h11-14H,2-10H2,1H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.509,0.003097419299216581
C12PhSO3Na,40.0,li2004,,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],348.48400000000004,"InChI=1S/C18H30O3S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-17-13-15-18(16-14-17)22(19,20)21;/h13-16H,2-12H2,1H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.921,0.0011994993031493794
C8C(C2)PhSO3Na,40.0,li2004,,CCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],334.45700000000005,"InChI=1S/C17H28O3S.Na/c1-3-5-6-7-8-9-10-15(4-2)16-11-13-17(14-12-16)21(18,19)20;/h11-15H,3-10H2,1-2H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.5,0.0031622776601683794
C7C(C3)PhSO3Na,40.0,li2004,,CCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],334.45700000000005,"InChI=1S/C17H28O3S.Na/c1-3-5-6-7-8-10-15(9-4-2)16-11-13-17(14-12-16)21(18,19)20;/h11-15H,3-10H2,1-2H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.4,0.003981071705534973
C6C(C4)PhSO3Na,40.0,li2004,,CCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],334.45700000000005,"InChI=1S/C17H28O3S.Na/c1-3-5-7-8-10-15(9-6-4-2)16-11-13-17(14-12-16)21(18,19)20;/h11-15H,3-10H2,1-2H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.3,0.005011872336272725
C5C(C5)PhSO3Na,40.0,li2004,,CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],334.45700000000005,"InChI=1S/C17H28O3S.Na/c1-3-5-7-9-15(10-8-6-4-2)16-11-13-17(14-12-16)21(18,19)20;/h11-15H,3-10H2,1-2H3,(H,18,19,20);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.25,0.005623413251903491
C7C(C4)PhSO3Na,40.0,li2004,,CCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],348.48400000000004,"InChI=1S/C18H30O3S.Na/c1-3-5-7-8-9-11-16(10-6-4-2)17-12-14-18(15-13-17)22(19,20)21;/h12-16H,3-11H2,1-2H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.57,0.0026915348039269166
C10C(C2)PhSO3Na,40.0,li2004,,CCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],362.511,"InChI=1S/C19H32O3S.Na/c1-3-5-6-7-8-9-10-11-12-17(4-2)18-13-15-19(16-14-18)23(20,21)22;/h13-17H,3-12H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,3.0,0.001
C9C(C3)PhSO3Na,40.0,li2004,,CCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],362.511,"InChI=1S/C19H32O3S.Na/c1-3-5-6-7-8-9-10-12-17(11-4-2)18-13-15-19(16-14-18)23(20,21)22;/h13-17H,3-12H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.9,0.0012589254117941675
C8C(C4)PhSO3Na,40.0,li2004,,CCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],362.511,"InChI=1S/C19H32O3S.Na/c1-3-5-7-8-9-10-12-17(11-6-4-2)18-13-15-19(16-14-18)23(20,21)22;/h13-17H,3-12H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.78,0.0016595869074375613
C7C(C5)PhSO3Na,40.0,li2004,,CCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],362.511,"InChI=1S/C19H32O3S.Na/c1-3-5-7-8-10-12-17(11-9-6-4-2)18-13-15-19(16-14-18)23(20,21)22;/h13-17H,3-12H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.7,0.001995262314968879
C6C(C6)PhSO3Na,40.0,li2004,,CCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],362.511,"InChI=1S/C19H32O3S.Na/c1-3-5-7-9-11-17(12-10-8-6-4-2)18-13-15-19(16-14-18)23(20,21)22;/h13-17H,3-12H2,1-2H3,(H,20,21,22);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.6,0.0025118864315095794
C12C(C)PhSO3Na,40.0,li2004,,CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],376.538,"InChI=1S/C20H34O3S.Na/c1-3-4-5-6-7-8-9-10-11-12-13-18(2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,3.39,0.0004073802778041126
C11C(C2)PhSO3Na,40.0,li2004,,CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],376.538,"InChI=1S/C20H34O3S.Na/c1-3-5-6-7-8-9-10-11-12-13-18(4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,3.28,0.0005248074602497728
C10C(C3)PhSO3Na,40.0,li2004,,CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],376.538,"InChI=1S/C20H34O3S.Na/c1-3-5-6-7-8-9-10-11-13-18(12-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,3.15,0.000707945784384138
C9C(C4)PhSO3Na,40.0,li2004,,CCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],376.538,"InChI=1S/C20H34O3S.Na/c1-3-5-7-8-9-10-11-13-18(12-6-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,3.05,0.0008912509381337459
C8C(C5)PhSO3Na,40.0,li2004,,CCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],376.538,"InChI=1S/C20H34O3S.Na/c1-3-5-7-8-9-11-13-18(12-10-6-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.9,0.0012589254117941675
C7C(C6)PhSO3Na,40.0,li2004,,CCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],376.538,"InChI=1S/C20H34O3S.Na/c1-3-5-7-9-11-13-18(12-10-8-6-4-2)19-14-16-20(17-15-19)24(21,22)23;/h14-18H,3-13H2,1-2H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.8,0.001584893192461114
C10EO2SO4Na,25.0,roberts2002,,CCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],348.437,"InChI=1S/C14H30O6S.Na/c1-2-3-4-5-6-7-8-9-10-18-11-12-19-13-14-20-21(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",10.1021/ci600462d,10.1021/la0108050,roberts2002,1.91,0.012302687708123818
C12EO4SO4Na,25.0,rosen1996,,CCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],464.59700000000026,"InChI=1S/C20H42O8S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-24-13-14-25-15-16-26-17-18-27-19-20-28-29(21,22)23;/h2-20H2,1H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1007/BF02517990,rosen1996,2.77,0.0016982436524617442
C14EOSO4Na,25.0,rosen1996,,CCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],360.492,"InChI=1S/C16H34O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-20-15-16-21-22(17,18)19;/h2-16H2,1H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1007/BF02517990,rosen1996,2.857,0.0013899526312133527
C14EO2SO4Na,25.0,roberts2002,,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],404.54500000000013,"InChI=1S/C18H38O6S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-22-15-16-23-17-18-24-25(19,20)21;/h2-18H2,1H3,(H,19,20,21);/q;+1/p-1",10.1021/ci600462d,10.1021/la0108050,roberts2002,3.07,0.0008511380382023768
C14EO4SO4Na,25.0,rosen1996,,CCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],492.65100000000035,"InChI=1S/C22H46O8S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-26-15-16-27-17-18-28-19-20-29-21-22-30-31(23,24)25;/h2-22H2,1H3,(H,23,24,25);/q;+1/p-1",10.1021/ci600462d,10.1007/BF02517990,rosen1996,3.16,0.0006918309709189362
C16EO2SO4Na,40.0,bazito2001,,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],432.59900000000016,"InChI=1S/C20H42O6S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-24-17-18-25-19-20-26-27(21,22)23;/h2-20H2,1H3,(H,21,22,23);/q;+1/p-1",10.1021/ci600462d,10.1016/S0008-6215(01)00077-5,bazito2001,3.638,0.0002301441817408509
C8CO2C2SO3Na,40.0,li2004,,CCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],288.341,"InChI=1S/C11H22O5S.Na/c1-2-3-4-5-6-7-8-11(12)16-9-10-17(13,14)15;/h2-10H2,1H3,(H,13,14,15);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,1.312,0.04875284901033863
C10CO2C2SO3Na,40.0,li2004,,CCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],316.39500000000004,"InChI=1S/C13H26O5S.Na/c1-2-3-4-5-6-7-8-9-10-13(14)18-11-12-19(15,16)17;/h2-12H2,1H3,(H,15,16,17);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,1.883,0.01309181922999407
C12CO2C2SO3Na,40.0,li2004,,CCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],344.449,"InChI=1S/C15H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-15(16)20-13-14-21(17,18)19;/h2-14H2,1H3,(H,17,18,19);/q;+1/p-1",10.1021/ci600462d,10.1016/j.theochem.2004.08.039,li2004,2.523,0.0029991625189876503
