identifier,AW_ST_CMC,Area_min,source_doi,reference_doi,Temp_Celsius,SMILES,method,CMC,pCMC,Molecular_Weight,InChI
C12–C3–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.00066,3.1804560644581312,680.7830000000006,"InChI=1S/C35H72N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-28-36(30-23-24-31-36)34-27-35-37(32-25-26-33-37)29-22-20-18-16-14-12-10-8-6-4-2;;/h3-35H2,1-2H3;2*1H/q+2;;/p-2"
C12–C4–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.00083,3.0809219076239263,694.8100000000005,"InChI=1S/C36H74N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-37(31-23-24-32-37)35-27-28-36-38(33-25-26-34-38)30-22-20-18-16-14-12-10-8-6-4-2;;/h3-36H2,1-2H3;2*1H/q+2;;/p-2"
C12–C6–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.00078,3.1079053973095196,722.8640000000004,"InChI=1S/C38H78N2.2BrH/c1-3-5-7-9-11-13-15-17-19-23-31-39(35-27-28-36-39)33-25-21-22-26-34-40(37-29-30-38-40)32-24-20-18-16-14-12-10-8-6-4-2;;/h3-38H2,1-2H3;2*1H/q+2;;/p-2"
C12–C8–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.00062,3.207608310501746,750.9180000000002,"InChI=1S/C40H82N2.2BrH/c1-3-5-7-9-11-13-15-17-21-25-33-41(37-29-30-38-41)35-27-23-19-20-24-28-36-42(39-31-32-40-42)34-26-22-18-16-14-12-10-8-6-4-2;;/h3-40H2,1-2H3;2*1H/q+2;;/p-2"
C12–C10–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.0005,3.3010299956639813,778.9720000000001,"InChI=1S/C42H86N2.2BrH/c1-3-5-7-9-11-13-15-19-23-27-35-43(39-31-32-40-43)37-29-25-21-17-18-22-26-30-38-44(41-33-34-42-44)36-28-24-20-16-14-12-10-8-6-4-2;;/h3-42H2,1-2H3;2*1H/q+2;;/p-2"
C12–C12–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.00039,3.408935392973501,807.026,"InChI=1S/C44H90N2.2BrH/c1-3-5-7-9-11-13-17-21-25-29-37-45(41-33-34-42-45)39-31-27-23-19-15-16-20-24-28-32-40-46(43-35-36-44-46)38-30-26-22-18-14-12-10-8-6-4-2;;/h3-44H2,1-2H3;2*1H/q+2;;/p-2"
C12–C14–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.0002,3.6989700043360187,835.0799999999998,"InChI=1S/C46H94N2.2BrH/c1-3-5-7-9-11-13-19-23-27-31-39-47(43-35-36-44-47)41-33-29-25-21-17-15-16-18-22-26-30-34-42-48(45-37-38-46-48)40-32-28-24-20-14-12-10-8-6-4-2;;/h3-46H2,1-2H3;2*1H/q+2;;/p-2"
C12–C14–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,,,835.0799999999998,"InChI=1S/C46H94N2.2BrH/c1-3-5-7-9-11-13-19-23-27-31-39-47(43-35-36-44-47)41-33-29-25-21-17-15-16-18-22-26-30-34-42-48(45-37-38-46-48)40-32-28-24-20-14-12-10-8-6-4-2;;/h3-46H2,1-2H3;2*1H/q+2;;/p-2"
C12–C16–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,0.00011999999999999999,3.9208187539523753,863.1339999999997,"InChI=1S/C48H98N2.2BrH/c1-3-5-7-9-11-13-21-25-29-33-41-49(45-37-38-46-49)43-35-31-27-23-19-17-15-16-18-20-24-28-32-36-44-50(47-39-40-48-50)42-34-30-26-22-14-12-10-8-6-4-2;;/h3-48H2,1-2H3;2*1H/q+2;;/p-2"
C12–C16–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry,,,863.1339999999997,"InChI=1S/C48H98N2.2BrH/c1-3-5-7-9-11-13-21-25-29-33-41-49(45-37-38-46-49)43-35-31-27-23-19-17-15-16-18-20-24-28-32-36-44-50(47-39-40-48-50)42-34-30-26-22-14-12-10-8-6-4-2;;/h3-48H2,1-2H3;2*1H/q+2;;/p-2"
C12–C3–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],fluorimetry,0.0005600000000000001,3.2518119729937993,680.7830000000006,"InChI=1S/C35H72N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-28-36(30-23-24-31-36)34-27-35-37(32-25-26-33-37)29-22-20-18-16-14-12-10-8-6-4-2;;/h3-35H2,1-2H3;2*1H/q+2;;/p-2"
C12–C4–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],fluorimetry,0.0010400000000000001,2.9829666607012197,694.8100000000005,"InChI=1S/C36H74N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-37(31-23-24-32-37)35-27-28-36-38(33-25-26-34-38)30-22-20-18-16-14-12-10-8-6-4-2;;/h3-36H2,1-2H3;2*1H/q+2;;/p-2"
C12–C6–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],fluorimetry,0.00064,3.193820026016113,722.8640000000004,"InChI=1S/C38H78N2.2BrH/c1-3-5-7-9-11-13-15-17-19-23-31-39(35-27-28-36-39)33-25-21-22-26-34-40(37-29-30-38-40)32-24-20-18-16-14-12-10-8-6-4-2;;/h3-38H2,1-2H3;2*1H/q+2;;/p-2"
C12–C8–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],fluorimetry,0.00043,3.3665315444204134,750.9180000000002,"InChI=1S/C40H82N2.2BrH/c1-3-5-7-9-11-13-15-17-21-25-33-41(37-29-30-38-41)35-27-23-19-20-24-28-36-42(39-31-32-40-42)34-26-22-18-16-14-12-10-8-6-4-2;;/h3-40H2,1-2H3;2*1H/q+2;;/p-2"
C12–C10–C12PB,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],fluorimetry,0.00026000000000000003,3.585026652029182,778.9720000000001,"InChI=1S/C42H86N2.2BrH/c1-3-5-7-9-11-13-15-19-23-27-35-43(39-31-32-40-43)37-29-25-21-17-18-22-26-30-38-44(41-33-34-42-44)36-28-24-20-16-14-12-10-8-6-4-2;;/h3-42H2,1-2H3;2*1H/q+2;;/p-2"
